population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1999,0.0039872282224285,0.0045537158793876,0.0034206775085319
1,All Population,5,Prevalence,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1999,397.71696474264996,454.13803325167004,341.29182054457
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,2002,0.0067164951618909,0.0076246247013541,0.0057688679317919
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2002,653.94840799837,742.96984099434,562.56877962506
1,All Population,5,Prevalence,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,2006,0.0039462463320755,0.0044981871076937,0.0033908080100136
1,All Population,5,Prevalence,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2006,392.87702993663,447.62659784161,337.68017731541
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,2006,0.0067055620307356,0.0076142775584827,0.0057468471281521
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2006,651.67849227109,740.34921312635,559.36143443487
1,All Population,5,Prevalence,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,1998,0.0040238734778189,0.0045903828481372,0.0034523912739487
1,All Population,5,Prevalence,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,1998,401.38034540328,458.08804357925,344.45571519551
1,All Population,5,Prevalence,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,2,Percent,2004,0.006711790257675,0.0076201130589288,0.0057603037562555
